group,y_true_log,y_pred_log,y_true_sec,y_pred_sec,model_name,used_gpu,img_size,batch
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,2.3365805406240145,2.2936961894486263,10.345798969268799,9.911504859614574,yolov5lu.pt,0,1120,5
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.03479050542295662,-1.1646928412093795,1.035402774810791,0.31201848653619974,yolov5lu.pt,0,160,8
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.7466636036377885,-0.014992949808884104,2.1099486351013184,0.9851188848549901,yolov5lu.pt,0,320,8
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.7244294442469454,1.5517864142224556,5.609319686889648,4.719894342212559,yolov5lu.pt,0,640,8
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,2.217079724944267,2.0773276725700285,9.180482149124147,7.983106908304377,yolov5lu.pt,0,800,8
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,2.5233965393995175,2.4285711026199595,12.470882654190062,11.342662993621778,yolov5lu.pt,0,960,8
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,2.813509607896758,2.810074912729397,16.668314933776855,16.611162559703438,yolov5lu.pt,0,1120,8
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.55779253566138,-0.9120785659990152,0.5724713802337646,0.4016884198058245,yolov5lu.pt,0,160,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.4841372539532924,0.15675847221403516,1.622774362564087,1.169713061574192,yolov5lu.pt,0,320,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.897736107070599,1.8795728413339325,6.670775413513184,6.550706073602105,yolov5lu.pt,0,640,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,2.3639048924300394,2.3513621079267626,10.632388830184935,10.499861933922226,yolov5lu.pt,0,800,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,2.7165114148623477,2.736220154471291,15.127456665039064,15.428557178786232,yolov5lu.pt,0,960,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,3.0334089841381995,2.8979331367211003,20.767909526824955,18.13662068830487,yolov5lu.pt,0,1120,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-2.0764704957438345,-2.4664441423205323,0.12537193298339838,0.0848861661071244,yolov6n.yaml,0,160,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-2.4960646702829217,-3.095194472470776,0.0824086666107177,0.045266208572801954,yolov6n.yaml,0,320,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.7638383271677036,-2.454280605608579,0.17138576507568362,0.08592498716604192,yolov6n.yaml,0,640,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.6536474168893935,-2.2978053168029,0.1913506984710693,0.10047912175431353,yolov6n.yaml,0,800,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.7027277489099089,-2.0461709134267894,0.18218588829040522,0.12922878563375384,yolov6n.yaml,0,960,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.712431245440778,-1.8374906356792184,0.1804265975952148,0.1592164573374896,yolov6n.yaml,0,1120,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-2.7563673950740997,-3.1792922122407137,0.0635221004486084,0.04161509935773574,yolov6n.yaml,0,160,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-2.3383144030067866,-2.878382188959545,0.09649014472961422,0.05622565177394151,yolov6n.yaml,0,320,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.7182983314729252,-1.9502236426087176,0.1793711185455322,0.142242256599717,yolov6n.yaml,0,640,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.2885799997030263,-1.5524410425962565,0.2756619453430176,0.21173049932726648,yolov6n.yaml,0,800,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.1299429343366632,-1.2903705626136959,0.3230516910552978,0.27516879692619317,yolov6n.yaml,0,960,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.8422226700839929,-0.9434112016204641,0.4307520389556885,0.3892975952021584,yolov6n.yaml,0,1120,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-2.282223992917367,-2.834436055695169,0.10205698013305659,0.05875164915107955,yolov6n.yaml,0,160,5
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.8564154899442131,-2.2137147172632137,0.1562316417694091,0.10929389757279326,yolov6n.yaml,0,320,5
